Название карточки;Роторы (1);Количество роторов (1);Комплект суппортов в сборе (2);Количество 2;Шланги (3);Количество (3);Переходной комплект (4);Количество (4);Комплекто колодок (5);Количество (5);Суппорты ручника (6);Количество (6);Выходное изделие;Количество изделий
Изготовление CADILLAC ESCALADE 5 поколение (2020-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Серый, DT48-289-G-03-0C-01-02-10-1A-02-02;DSC038028S;1;KIT-DT48G;1;H75X;1;CK-DT48-289-380;1;pds_ap5200C100;1;;1;DT48-289-G-03-0C-01-02-10-1A-02-02;1
Изготовление CADILLAC ESCALADE 5 поколение (2020-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Черный, DT48-289-B-03-0C-01-02-10-1A-02-02;DSC038028S;1;KIT-DT48B;1;H75X;1;CK-DT48-289-380;1;pds_ap5200C100;1;;1;DT48-289-B-03-0C-01-02-10-1A-02-02;1
Изготовление CADILLAC ESCALADE 5 поколение (2020-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Красный, DT48-289-R-03-0C-01-02-10-1A-02-02;DSC038028S;1;KIT-DT48R;1;H75X;1;CK-DT48-289-380;1;pds_ap5200C100;1;;1;DT48-289-R-03-0C-01-02-10-1A-02-02;1
Изготовление WEY Coffee 01 1 поколение (2023-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Серый, DT48-3168-G-03-0C-01-02-0A-1B-00-02;DSC038028S;1;KIT-DT48G;1;H55X;1;CK-DT48-3168-380;1;pds_ap5200C100;1;;1;DT48-3168-G-03-0C-01-02-0A-1B-00-02;1
Изготовление WEY Coffee 01 1 поколение (2023-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Красный, DT48-3168-R-03-0C-01-02-0A-1B-00-02;DSC038028S;1;KIT-DT48R;1;H55X;1;CK-DT48-3168-380;1;pds_ap5200C100;1;;1;DT48-3168-R-03-0C-01-02-0A-1B-00-02;1
Изготовление WEY Coffee 01 1 поколение (2023-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Черный, DT48-3168-B-03-0C-01-02-0A-1B-00-02;DSC038028S;1;KIT-DT48B;1;H55X;1;CK-DT48-3168-380;1;pds_ap5200C100;1;;1;DT48-3168-B-03-0C-01-02-0A-1B-00-02;1
Изготовление RAM 1500 V (DT) (2018-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Черный, DT48-728-B-03-0C-01-02-0A-05-02-02;DSC038028S;1;KIT-DT48B;1;H55X;1;CK-DT48-728-380;1;pds_ap5200C100;1;;1;DT48-728-B-03-0C-01-02-0A-05-02-02;1
Изготовление RAM 1500 V (DT) (2018-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Красный, DT48-728-R-03-0C-01-02-0A-05-02-02;DSC038028S;1;KIT-DT48R;1;H55X;1;CK-DT48-728-380;1;pds_ap5200C100;1;;1;DT48-728-R-03-0C-01-02-0A-05-02-02;1
Изготовление RAM 1500 V (DT) (2018-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Серый, DT48-728-G-03-0C-01-02-0A-05-02-02;DSC038028S;1;KIT-DT48G;1;H55X;1;CK-DT48-728-380;1;pds_ap5200C100;1;;1;DT48-728-G-03-0C-01-02-0A-05-02-02;1
Изготовление TOYOTA CAMRY XV70 (2017-2024) ICOOH DT48 (345*24mm,Фиксированный,Насечки) цвет: Черный, поршней: 4, задняя ось, DT48-752-B-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-DT48B;1;H45X;1;CK-DT48-752-355;1;pds_ap5200C100;1;;1;DT48-752-B-03-16-01-02-08-1B-00-02;1
Изготовление TOYOTA CAMRY XV70 (2017-2024) ICOOH DT48 (345*24mm,Фиксированный,Насечки) цвет: Серый, поршней: 4, задняя ось, Артикул: DT48-752-G-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-DT48G;1;H45X;1;CK-DT48-752-355;1;pds_ap5200C100;1;;1;DT48-752-G-03-16-01-02-08-1B-00-02;1
Изготовление TOYOTA CAMRY XV70 (2017-2024) ICOOH DT48 (345*24mm,Фиксированный,Насечки) цвет: Красный, поршней: 4, задняя ось, DT48-752-R-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-DT48R;1;H45X;1;CK-DT48-752-355;1;pds_ap5200C100;1;;1;DT48-752-R-03-16-01-02-08-1B-00-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Черный, DT48-777-B-03-0C-01-02-08-1A-02-02;DSC035528S;1;KIT-DT48B;1;H45X;1;CK-DT48-777-380;1;pds_ap5200C100;1;;1;DT48-777-B-03-0C-01-02-08-1A-02-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Красный, DT48-777-R-03-0C-01-02-08-1A-02-02;DSC038028S;1;KIT-DT48R;1;H45X;1;CK-DT48-777-380;1;pds_ap5200C100;1;;1;DT48-777-R-03-0C-01-02-08-1A-02-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Серый, DT48-777-G-03-0C-01-02-08-1A-02-02;DSC038028S;1;KIT-DT48G;1;H45X;1;CK-DT48-777-380;1;pds_ap5200C100;1;;1;DT48-777-G-03-0C-01-02-08-1A-02-02;1
Изготовление TOYOTA LAND CRUISER J300 DT48-777-W-03-0C-01-02-08-1A-02-02;DSC038028S;1;KIT-DT48W;1;H45X;1;CK-DT48-777-380;1;pds_ap5200C100;1;;1;DT48-777-W-03-0C-01-02-08-1A-02-02;1
Изготовление LiXiang L7/8/9/ONE DT48-E20-G-03-0C-01-02-09-1A-02-02;DSC038028S;1;KIT-DT48G;1;H55V;1;CK-DT48-E20-380;1;pds_ap5200C100;1;;1;DT48-E20-G-03-0C-01-02-09-1A-02-02;1
Изготовление LiXiang L7/8/9/ONE DT48-E20-B-03-0C-01-02-09-1A-02-02;DSC038028S;1;KIT-DT48B;1;H55V;1;CK-DT48-E20-380;1;pds_ap5200C100;1;;1;DT48-E20-B-03-0C-01-02-09-1A-02-02;1
Изготовление LiXiang L7/8/9/ONE DT48-E20-R-03-0C-01-02-09-1A-02-02;DSC038028S;1;KIT-DT48R;1;H55V;1;CK-DT48-E20-380;1;pds_ap5200C100;1;;1;DT48-E20-R-03-0C-01-02-09-1A-02-02;1
Изготовление LiXiang L7/8/9/ONE DT48-E20-W-03-0C-01-02-09-1A-02-02;DSC038028S;1;KIT-DT48W;1;H55V;1;CK-DT48-E20-380;1;pds_ap5200C100;1;;1;DT48-E20-W-03-0C-01-02-09-1A-02-02;1
Изготовление Geely Coolray 1 поколение (2019-2024) ICOOH IC51, (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC51-1185-R-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC51R;1;H55X;1;CK-IC51-1185-355;1;pds_DR6C100;1;;1;IC51-1185-R-03-07-01-02-0A-04-00-02;1
Изготовление Geely Coolray 1 поколение (2019-2024) ICOOH IC51, (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC51-1185-B-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC51B;1;H55X;1;CK-IC51-1185-355;1;pds_DR6C100;1;;1;IC51-1185-B-03-07-01-02-0A-04-00-02;1
Изготовление Geely Coolray 1 поколение (2019-2024) ICOOH IC51, (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC51-1185-G-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC51G;1;H55X;1;CK-IC51-1185-355;1;pds_DR6C100;1;;1;IC51-1185-G-03-07-01-02-0A-04-00-02;1
Изготовление Hongqi HQ9 1 поколение (2022-2024) ICOOH IC51, (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC51-1439-R-03-07-01-02-0D-04-00-02;DSC035532S;1;KIT-IC51R;1;H65V;1;CK-IC51-1439-355;1;pds_DR6C100;1;;1;IC51-1439-R-03-07-01-02-0D-04-00-02;1
Изготовление Hongqi HQ9 1 поколение (2022-2024) ICOOH IC51, (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC51-1439-B-03-07-01-02-0D-04-00-02;DSC035532S;1;KIT-IC51B;1;H65V;1;CK-IC51-1439-355;1;pds_DR6C100;1;;1;IC51-1439-B-03-07-01-02-0D-04-00-02;1
Изготовление Hongqi HQ9 1 поколение (2022-2024) ICOOH IC51, (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC51-1439-G-03-07-01-02-0D-04-00-02;DSC035532S;1;KIT-IC51G;1;H65V;1;CK-IC51-1439-355;1;pds_DR6C100;1;;1;IC51-1439-G-03-07-01-02-0D-04-00-02;1
Изготовление Jeep Grand Cherokee IV (WK2) (2010-2024) ICOOH IC51 (ex DR61) (355*32мм) цвет: Красный, поршней: 6, передняя ось, IC51-1626-R-03-07-01-02-0E-04-00-02;DSC035532S;1;KIT-IC51R;1;H65X;1;CK-IC51-1626-355;1;pds_DR6C100;1;;1;IC51-1626-R-03-07-01-02-0E-04-00-02;1
Изготовление Jeep Grand Cherokee IV (WK2) (2010-2024) ICOOH IC51 (ex DR61) (355*32мм) цвет: Черный, поршней: 6, передняя ось, IC51-1626-B-03-07-01-02-0E-04-00-02;DSC035532S;1;KIT-IC51B;1;H65X;1;CK-IC51-1626-355;1;pds_DR6C100;1;;1;IC51-1626-B-03-07-01-02-0E-04-00-02;1
Изготовление Jeep Grand Cherokee IV (WK2) (2010-2024) ICOOH IC51 (ex DR61) (355*32мм) цвет: Серый, поршней: 6, передняя ось, IC51-1626-G-03-07-01-02-0E-04-00-02;DSC035532S;1;KIT-IC51G;1;H65X;1;CK-IC51-1626-355;1;pds_DR6C100;1;;1;IC51-1626-G-03-07-01-02-0E-04-00-02;1
Изготовление Genesis G90 IC5-1213-R-03-07-01-02-0D-04-00-02;DSC035532S;1;KIT-IC51R;1;H65V;1;CK-IC51-1213-355;1;pds_DR6C100;1;;1;IC5-1213-R-03-07-01-02-0D-04-00-02;1
Изготовление GAC Trumpchi M8 1 поколение (2020-2024) ICOOH IC51, (355*32mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Красный, IC51-4057-R-03-07-01-02-09-04-00-02;DSC035532S;1;KIT-IC51R;1;H55V;1;CK-IC51-4057-355;1;pds_DR6C100;1;;1;IC51-4057-R-03-07-01-02-09-04-00-02;1
Изготовление GAC Trumpchi M8 1 поколение (2020-2024) ICOOH IC51, (355*32mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Черный, IC51-4057-B-03-07-01-02-09-04-00-02;DSC035532S;1;KIT-IC51B;1;H55V;1;CK-IC51-4057-355;1;pds_DR6C100;1;;1;IC51-4057-B-03-07-01-02-09-04-00-02;1
Изготовление GAC Trumpchi M8 1 поколение (2020-2024) ICOOH IC51, (355*32mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Серый, IC51-4057-G-03-07-01-02-09-04-00-02;DSC035532S;1;KIT-IC51G;1;H55V;1;CK-IC51-4057-355;1;pds_DR6C100;1;;1;IC51-4057-G-03-07-01-02-09-04-00-02;1
Изготовление Toyota Land Cruiser 150 (J150) (2010-2024) ICOOH IC51 (ex DR61), (355*32mm), поршней: 6, передняя ось, цвет: Черный, IC51-781-B-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC51B;1;H55X;1;CK-IC51-781-355;1;pds_DR6C100;1;;1;IC51-781-B-03-07-01-02-0A-04-00-02;1
Изготовление Toyota Land Cruiser 150 (J150) (2010-2024) ICOOH IC51 (ex DR61), (355*32mm), поршней: 6, передняя ось, цвет: красный, IC51-781-R-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC51R;1;H55X;1;CK-IC51-781-355;1;pds_DR6C100;1;;1;IC51-781-R-03-07-01-02-0A-04-00-02;1
Изготовление Toyota Land Cruiser 150 (J150) (2010-2024) ICOOH IC51 (ex DR61), (355*32mm), поршней: 6, передняя ось, цвет: серый, IC51-781-G-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC51G;1;H55X;1;CK-IC51-781-355;1;pds_DR6C100;1;;1;IC51-781-G-03-07-01-02-0A-04-00-02;1
Изготовление Haval Dargo 1 поколение (2022-2024) ICOOH IC52, (355*32mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Красный, IC52-1280-R-03-07-01-02-07-04-00-02;DSC035532S;1;KIT-IC51R;1;H45V;1;CK-IC52-1280-355;1;pds_DR6C100;1;;1;IC52-1280-R-03-07-01-02-07-04-00-02;1
Изготовление Haval Dargo 1 поколение (2022-2024) ICOOH IC52, (355*32mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Черный, IC52-1280-B-03-07-01-02-07-04-00-02;DSC035532S;1;KIT-IC51B;1;H45V;1;CK-IC52-1280-355;1;pds_DR6C100;1;;1;IC52-1280-B-03-07-01-02-07-04-00-02;1
Изготовление Haval Dargo 1 поколение (2022-2024) ICOOH IC52, (355*32mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Серый, IC52-1280-G-03-07-01-02-07-04-00-02;DSC035532S;1;KIT-IC51G;1;H45V;1;CK-IC52-1280-355;1;pds_DR6C100;1;;1;IC52-1280-G-03-07-01-02-07-04-00-02;1
Изготовление Kia Mohave 2 поколение (HM2) (2019-2024) ICOOH IC52 (ex DR62), (362*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC52-4076-R-03-1B-01-02-09-04-00-02;DSC036232S;1;KIT-IC52R_P;1;H55V;1;CK-IC52-4076-362;1;pds_DR6C100;1;;1;IC52-4076-R-03-1B-01-02-09-04-00-02;1
Изготовление Kia Mohave 2 поколение (HM2) (2019-2024) ICOOH IC52 (ex DR62), (362*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC52-4076-B-03-1B-01-02-09-04-00-02;DSC036232S;1;KIT-IC52B_P;1;H55V;1;CK-IC52-4076-362;1;pds_DR6C100;1;;1;IC52-4076-B-03-1B-01-02-09-04-00-02;1
Изготовление Kia Mohave 2 поколение (HM2) (2019-2024) ICOOH IC52 (ex DR62), (362*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC52-4076-G-03-1B-01-02-09-04-00-02;DSC036232S;1;KIT-IC52G_P;1;H55V;1;CK-IC52-4076-362;1;pds_DR6C100;1;;1;IC52-4076-G-03-1B-01-02-09-04-00-02;1
Изготовление Hyundai Grand Starex (TQ) (2007-2023) ICOOH IC52 (ex DR62) (330*32mm), поршней: 6, передняя ось, цвет: Красный, IC52-419-R-03-05-01-02-09-04-00-02;DSC033032S;1;KIT-IC52R;1;H55V;1;CK-IC52-419-330;1;pds_DR6C100;1;;1;IC52-419-R-03-05-01-02-09-04-00-02;1
Изготовление Hyundai Grand Starex (TQ) (2007-2023) ICOOH IC52 (ex DR62) (330*32mm), поршней: 6, передняя ось, цвет: Черный, IC52-419-B-03-05-01-02-09-04-00-02;DSC033032S;1;KIT-IC52B;1;H55V;1;CK-IC52-419-330;1;pds_DR6C100;1;;1;IC52-419-B-03-05-01-02-09-04-00-02;1
Изготовление Hyundai Grand Starex (TQ) (2007-2023) ICOOH IC52 (ex DR62) (330*32mm), поршней: 6, передняя ось, цвет: Серый, IC52-419-G-03-05-01-02-09-04-00-02;DSC033032S;1;KIT-IC52G;1;H55V;1;CK-IC52-419-330;1;pds_DR6C100;1;;1;IC52-419-G-03-05-01-02-09-04-00-02;1
Изготовление VOLKSWAGEN GOLF 4 IC5-2995-R-03-07-01-02-0D-04-00-02;DSC035532S;1;KIT-IC51R;1;H65V;1;CK-IC51-2995-355;1;pds_DR6C100;1;;1;IC5-2995-R-03-07-01-02-0D-04-00-02;1
Изготовление HYUNDAI Palisade 1 поколение (2018-2024) ICOOH IC53, (362*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC53-1527-R-03-1B-01-02-0F-04-00-02;DSC036232S;1;KIT-IC53R;1;H75V;1;CK-IC53-1527-362;1;pds_DR6C100;1;;1;IC53-1527-R-03-1B-01-02-0F-04-00-02;1
Изготовление HYUNDAI Palisade 1 поколение (2018-2024) ICOOH IC53, (362*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC53-1527-B-03-1B-01-02-0F-04-00-02;DSC036232S;1;KIT-IC53B;1;H75V;1;CK-IC53-1527-362;1;pds_DR6C100;1;;1;IC53-1527-B-03-1B-01-02-0F-04-00-02;1
Изготовление HYUNDAI Palisade 1 поколение (2018-2024) ICOOH IC53, (362*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC53-1527-G-03-1B-01-02-0F-04-00-02;DSC036232S;1;KIT-IC53G;1;H75V;1;CK-IC53-1527-362;1;pds_DR6C100;1;;1;IC53-1527-G-03-1B-01-02-0F-04-00-02;1
Изготовление Kia Carnival 4 поколение (2020-2024) ICOOH IC53 (ex DR63), (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC53-1659-R-03-07-01-02-0E-04-00-00;DSC035532S;1;KIT-IC53R;1;H65X;1;CK-IC53-1659-355;1;pds_DR6C100;1;;1;IC53-1659-R-03-07-01-02-0E-04-00-00;1
Изготовление Kia Carnival 4 поколение (2020-2024) ICOOH IC53 (ex DR63), (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC53-1659-B-03-07-01-02-0E-04-00-00;DSC035532S;1;KIT-IC53B;1;H65X;1;CK-IC53-1659-355;1;pds_DR6C100;1;;1;IC53-1659-B-03-07-01-02-0E-04-00-00;1
Изготовление Kia Carnival 4 поколение (2020-2024) ICOOH IC53 (ex DR63), (355*32mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC53-1659-G-03-07-01-02-0E-04-00-00;DSC035532S;1;KIT-IC53G;1;H65X;1;CK-IC53-1659-355;1;pds_DR6C100;1;;1;IC53-1659-G-03-07-01-02-0E-04-00-00;1
Изготовление Toyota Camry (XV70) (2017-2024) ICOOH IC53 (ex DR63), (355*32, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: черный, IC53-752-B-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC53B;1;H55X;1;CK-IC53-752-355;1;pds_DR6C100;1;;1;IC53-752-B-03-07-01-02-0A-04-00-02;1
Изготовление TOYOTA CAMRY XV70 (2017-2024) ICOOH IC53 (ex DR63), (355*32, Фиксированный, Насечки) поршней: 6, передняя ось, цвет: Серый, IC53-752-G-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC53G;1;H55X;1;CK-IC53-752-355;1;pds_DR6C100;1;;1;IC53-752-G-03-07-01-02-0A-04-00-02;1
Изготовление Toyota Camry (XV70) (2017-2024) ICOOH IC53 (ex DR63), (355*32, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: красный, IC53-752-R-03-07-01-02-0A-04-00-02;DSC035532S;1;KIT-IC53R;1;H55X;1;CK-IC53-752-355;1;pds_DR6C100;1;;1;IC53-752-R-03-07-01-02-0A-04-00-02;1
Изготовление Tank 500 1 поколение (2021-2024) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC61-2745-R-03-15-01-02-00-01-00-00;DSC041036S;1;KIT-IC61R;1;?;1;CK-IC61-2745-410;1;pds_8520C100;1;;1;IC61-2745-R-03-15-01-02-00-01-00-00;1
Изготовление Tank 500 1 поколение (2021-2024) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC61-2745-B-03-15-01-02-00-01-00-00;DSC041036S;1;KIT-IC61B;1;?;1;CK-IC61-2745-410;1;pds_8520C100;1;;1;IC61-2745-B-03-15-01-02-00-01-00-00;1
Изготовление Tank 500 1 поколение (2021-2024) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC61-2745-G-03-15-01-02-00-01-00-00;DSC041036S;1;KIT-IC61G;1;?;1;CK-IC61-2745-410;1;pds_8520C100;1;;1;IC61-2745-G-03-15-01-02-00-01-00-00;1
Изготовление CADILLAC ESCALADE 5 поколение (2020-2024) ICOOH IC61, (410*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC61-289-R-03-11-01-02-0C-01-00-02;DSC041036S;1;KIT-IC61R;1;H60X;1;CK-IC61-289-410;1;pds_8520C100;1;;1;IC61-289-R-03-11-01-02-0C-01-00-02;1
Изготовление CADILLAC ESCALADE 5 поколение (2020-2024) ICOOH IC61, (410*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC61-289-B-03-11-01-02-0C-01-00-02;DSC041036S;1;KIT-IC61B;1;H60X;1;CK-IC61-289-410;1;pds_8520C100;1;;1;IC61-289-B-03-11-01-02-0C-01-00-02;1
Изготовление CADILLAC ESCALADE 5 поколение (2020-2024) ICOOH IC61, (410*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC61-289-G-03-11-01-02-0C-01-00-02;DSC041036S;1;KIT-IC61G;1;H60X;1;CK-IC61-289-410;1;pds_8520C100;1;;1;IC61-289-G-03-11-01-02-0C-01-00-02;1
Изготовление RAM 1500 V (2018-2024) ICOOH IC61 (410*36mm, Фиксированный, Насечки) цвет: Красный, поршней: 6, передняя ось, IC61-728-R-03-15-01-02-0E-01-00-02;DSC041036S;1;KIT-IC61R;1;H65X;1;CK-IC61-728-410;1;pds_8520C100;1;;1;IC61-728-R-03-15-01-02-0E-01-00-02;1
Изготовление RAM 1500 V (2018-2024) ICOOH IC61 (410*36mm, Фиксированный, Насечки) цвет: Черный, поршней: 6, передняя ось, IC61-728-B-03-15-01-02-0E-01-00-02;DSC041036S;1;KIT-IC61B;1;H65X;1;CK-IC61-728-410;1;pds_8520C100;1;;1;IC61-728-B-03-15-01-02-0E-01-00-02;1
Изготовление RAM 1500 V (2018-2024) ICOOH IC61 (410*36mm, Фиксированный, Насечки) цвет: Серый, поршней: 6, передняя ось, IC61-728-G-03-15-01-02-0E-01-00-02;DSC041036S;1;KIT-IC61G;1;H65X;1;CK-IC61-728-410;1;pds_8520C100;1;;1;IC61-728-G-03-15-01-02-0E-01-00-02;1
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC61-776-R-03-15-01-02-0A-01-00-02;DSC041036S;1;KIT-IC61R;1;H55X;1;CK-IC61-776-410;1;pds_8520C100;1;;1;IC61-776-R-03-15-01-02-0A-01-00-02;1
